Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 4 per model, outdir: results/run_003

  [72/144] DeepSeek-V3.2-reasoner/A/小圣乐  140.3s 0err 24971tok
  [73/144] DeepSeek-V3.2-reasoner/A/恋芳春慢  91.81s 0err 19820tok
  [74/144] DeepSeek-V3.2-reasoner/A/惜寒梅  89.3s 0err 18352tok
  [75/144] DeepSeek-V3.2-reasoner/A/无闷  68.29s 0err 14104tok
  [76/144] DeepSeek-V3.2-reasoner/A/春雪间早梅  88.84s 0err 18182tok
  [77/144] DeepSeek-V3.2-reasoner/A/早梅芳慢  115.71s 0err 17056tok
  [78/144] DeepSeek-V3.2-reasoner/A/征部乐  223.56s 0err 38548tok
  [79/144] DeepSeek-V3.2-reasoner/A/望南云慢  159.29s 0err 28390tok
  [80/144] DeepSeek-V3.2-reasoner/A/望明河  176.13s 0err 22055tok
  [81/144] DeepSeek-V3.2-reasoner/A/梦扬州  90.88s 0err 15236tok
  [82/144] DeepSeek-V3.2-reasoner/A/清风满桂楼  101.1s 0err 17105tok
  [83/144] DeepSeek-V3.2-reasoner/A/澡兰香  74.83s 0err 12423tok
  [84/144] DeepSeek-V3.2-reasoner/A/期夜月  170.14s 0err 17752tok
  [85/144] DeepSeek-V3.2-reasoner/A/杏花天慢  181.81s 0err 18423tok
  [86/144] DeepSeek-V3.2-reasoner/A/玉梅香慢  77.16s 0err 14090tok
  [87/144] DeepSeek-V3.2-reasoner/A/玉连环  119.83s 0err 21456tok
  [88/144] DeepSeek-V3.2-reasoner/A/瑞云浓慢  112.07s 0err 19625tok
  [89/144] DeepSeek-V3.2-reasoner/A/玉抱肚  196.15s 0err 28218tok
  [90/144] DeepSeek-V3.2-reasoner/A/真珠髻  105.44s 0err 20317tok
  [91/144] DeepSeek-V3.2-reasoner/A/翠羽吟  57.93s 0err 12396tok
  [92/144] DeepSeek-V3.2-reasoner/A/舜韶新  125.43s 0err 23123tok
  [93/144] DeepSeek-V3.2-reasoner/A/菩萨蛮慢  91.86s 0err 14251tok
  [94/144] DeepSeek-V3.2-reasoner/A/红芍药  174.56s 0err 23190tok
  [95/144] DeepSeek-V3.2-reasoner/A/蜀溪春  127.95s 0err 23049tok
  [96/144] DeepSeek-V3.2-reasoner/A/西吴曲  100.26s 0err 16724tok
  [97/144] DeepSeek-V3.2-reasoner/A/采明珠  53.05s 0err 11940tok
  [98/144] DeepSeek-V3.2-reasoner/A/阳台路  83.91s 0err 15253tok
  [99/144] DeepSeek-V3.2-reasoner/A/雪明鳷鹊夜  98.27s 0err 17053tok
  [100/144] DeepSeek-V3.2-reasoner/A/赏松菊  103.46s 0err 19244tok
  [101/144] DeepSeek-V3.2-reasoner/A/蝶恋花  54.5s 0err 11634tok
  [102/144] DeepSeek-V3.2-reasoner/A/忆江南  72.84s 0err 12878tok
  [103/144] DeepSeek-V3.2-reasoner/A/渔家傲  112.35s 0err 21010tok
  [104/144] DeepSeek-V3.2-reasoner/A/踏莎行  120.94s 0err 17483tok
  [105/144] DeepSeek-V3.2-reasoner/A/荷华媚  47.37s 0err 9156tok
  [106/144] DeepSeek-V3.2-reasoner/A/洞仙歌  187.53s 0err 34672tok
  [107/144] DeepSeek-V3.2-reasoner/A/甘露歌  146.13s 0err 27031tok
  [108/144] DeepSeek-V3.2-reasoner/A/韵令  42.29s 0err 8795tok
  [109/144] DeepSeek-V3.2-reasoner/A/浣溪沙  44.25s 0err 8875tok
  [110/144] DeepSeek-V3.2-reasoner/A/钿带长中调  137.93s 0err 16838tok
  [111/144] DeepSeek-V3.2-reasoner/A/浪淘沙  25.69s 0err 7461tok
  [112/144] DeepSeek-V3.2-reasoner/A/隔帘听  181.3s 0err 25306tok
  [113/144] DeepSeek-V3.2-reasoner/A/生查子  33.09s 0err 9191tok
  [114/144] DeepSeek-V3.2-reasoner/A/破字令  55.55s 0err 10908tok
  [115/144] DeepSeek-V3.2-reasoner/A/鹧鸪天  58.29s 0err 10958tok
  [116/144] DeepSeek-V3.2-reasoner/A/菩萨蛮  70.53s 0err 14544tok
  [117/144] DeepSeek-V3.2-reasoner/A/荷叶铺水面  48.71s 0err 8893tok
  [118/144] DeepSeek-V3.2-reasoner/A/竹香子  86.29s 0err 17085tok
  [119/144] DeepSeek-V3.2-reasoner/A/七律平起首句入韵  39.06s 0err 9190tok
  [120/144] DeepSeek-V3.2-reasoner/A/醉高歌  87.7s 0err 15726tok
  [121/144] DeepSeek-V3.2-reasoner/A/荔子丹  103.93s 0err 15897tok
