Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 8 per model, outdir: results/run_002

  GLM-5.1/C: resume, 24 done, 120 remaining
  [90/120] GLM-5.1/C/隔帘听  322.3s 1err 24683tok
  [91/120] GLM-5.1/C/醉高歌  65.74s 1err 3774tok
  [92/120] GLM-5.1/C/菩萨蛮  158.41s 16err 11652tok
  [93/120] GLM-5.1/C/竹香子  138.28s 1err 8565tok
  [94/120] GLM-5.1/C/钿带长中调  422.84s 1err 39103tok
  [95/120] GLM-5.1/C/荔子丹  154.5s 1err 9786tok
  [96/120] GLM-5.1/C/荷叶铺水面  478.18s 1err 39096tok
  [97/120] GLM-5.1/C/五绝仄起  29.68s 1err 1983tok
  [98/120] GLM-5.1/C/五律仄起  37.85s 0err 2922tok
  [99/120] GLM-5.1/C/七绝平起  47.43s 1err 2835tok
  [100/120] GLM-5.1/C/七绝平起首句入韵  50.45s 1err 3054tok
  [101/120] GLM-5.1/C/七律平起首句入韵  64.31s 0err 4524tok
  [102/120] GLM-5.1/C/七律平起  30.52s 1err 2440tok
  [103/120] GLM-5.1/C/七绝仄起  49.17s 2err 3114tok
  [104/120] GLM-5.1/C/七绝仄起首句入韵  112.84s 1err 6206tok
  [105/120] GLM-5.1/C/五律仄起首句入韵  76.93s 0err 5952tok
  [106/120] GLM-5.1/C/七律仄起  88.96s 2err 6950tok
  [107/120] GLM-5.1/C/五绝平起首句入韵  30.94s 0err 1957tok
  [108/120] GLM-5.1/C/五律平起首句入韵  77.87s 0err 5401tok
  [109/120] GLM-5.1/C/七律仄起首句入韵  161.71s 0err 12598tok
  [110/120] GLM-5.1/C/五绝平起  107.1s 1err 6529tok
  [111/120] GLM-5.1/C/五律平起  193.66s 0err 12953tok
  [112/120] GLM-5.1/C/五绝仄起首句入韵  123.93s 1err 8289tok
  [113/120] GLM-5.1/C/西江月  82.18s 2err 5556tok
  [114/120] GLM-5.1/C/调笑令  111.61s 1err 7588tok
  [115/120] GLM-5.1/C/定风波  219.37s 21err 14404tok
  [116/120] GLM-5.1/C/减字木兰花  192.38s 20err 14050tok
  [117/120] GLM-5.1/C/六州歌头  327.25s 1err 25924tok
  [118/120] GLM-5.1/C/翠楼吟  258.77s 6err 19022tok
  [119/120] GLM-5.1/C/戚氏  419.01s 14err 39297tok
  [120/120] GLM-5.1/C/皂罗特髻  412.95s 1err 39143tok
  GLM-5.1/C: done (120 completed)

All done. Results in results/run_002/
