Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 2 per model, outdir: results/run_002

  [87/144] gpt-5.4/D2/玉梅香慢  73.64s 4err 8389tok
  [88/144] gpt-5.4/D2/玉连环  71.24s 1err 9107tok
  [89/144] gpt-5.4/D2/真珠髻  74.17s 8err 8135tok
  [90/144] gpt-5.4/D2/瑞云浓慢  89.08s 9err 11479tok
  [91/144] gpt-5.4/D2/翠羽吟  33.42s 1err 5613tok
  [92/144] gpt-5.4/D2/红芍药  87.38s 1err 9425tok
  [93/144] gpt-5.4/D2/舜韶新  43.06s 9err 6348tok
  [94/144] gpt-5.4/D2/菩萨蛮慢  75.09s 1err 9102tok
  [95/144] gpt-5.4/D2/蜀溪春  96.74s 4err 9078tok
  [96/144] gpt-5.4/D2/西吴曲  43.86s 1err 6880tok
  [97/144] gpt-5.4/D2/赏松菊  56.25s 28err 7057tok
  [98/144] gpt-5.4/D2/采明珠  56.35s 2err 8008tok
  [99/144] gpt-5.4/D2/雪明鳷鹊夜  53.02s 1err 6375tok
  [100/144] gpt-5.4/D2/阳台路  94.23s 1err 10139tok
  [101/144] gpt-5.4/D2/蝶恋花  82.55s 0err 9202tok
  [102/144] gpt-5.4/D2/忆江南  50.04s 0err 7112tok
  [103/144] gpt-5.4/D2/踏莎行  43.99s 1err 6081tok
  [104/144] gpt-5.4/D2/渔家傲  80.06s 21err 10249tok
  [105/144] gpt-5.4/D2/洞仙歌  55.95s 2err 10080tok
  [106/144] gpt-5.4/D2/甘露歌  102.97s 1err 10430tok
  [107/144] gpt-5.4/D2/荷华媚  69.11s 4err 8068tok
  [108/144] gpt-5.4/D2/钿带长中调  81.34s 1err 10044tok
  [109/144] gpt-5.4/D2/隔帘听  65.75s 8err 9819tok
  [110/144] gpt-5.4/D2/浣溪沙  39.62s 3err 7268tok
  [111/144] gpt-5.4/D2/韵令  78.78s 5err 9462tok
  [112/144] gpt-5.4/D2/浪淘沙  83.69s 1err 13022tok
  [113/144] gpt-5.4/D2/生查子  61.26s 0err 8999tok
  [114/144] gpt-5.4/D2/鹧鸪天  72.96s 0err 8078tok
  [115/144] gpt-5.4/D2/菩萨蛮  29.79s 17err 4856tok
  [116/144] gpt-5.4/D2/破字令  53.56s 0err 8456tok
  [117/144] gpt-5.4/D2/竹香子  47.7s 2err 6261tok
  [118/144] gpt-5.4/D2/荔子丹  82.16s 1err 9112tok
  [119/144] gpt-5.4/D2/荷叶铺水面  79.53s 9err 8354tok
  [120/144] gpt-5.4/D2/醉高歌  78.2s 4err 8387tok
  [121/144] gpt-5.4/D2/七律平起首句入韵  72.09s 20err 7236tok
  [122/144] gpt-5.4/D2/五律仄起  55.17s 1err 5654tok
  [123/144] gpt-5.4/D2/七律仄起首句入韵  148.33s 0err 14596tok
  [124/144] gpt-5.4/D2/七绝平起首句入韵  35.67s 7err 8360tok
  [125/144] gpt-5.4/D2/七绝仄起首句入韵  94.32s 10err 11183tok
  [126/144] gpt-5.4/D2/五律平起  57.97s 14err 7257tok
  [127/144] gpt-5.4/D2/五绝仄起  38.68s 0err 5098tok
  [128/144] gpt-5.4/D2/七绝平起  65.23s 1err 9828tok
  [129/144] gpt-5.4/D2/七绝仄起  39.38s 0err 6589tok
  [130/144] gpt-5.4/D2/七律仄起  99.9s 0err 10683tok
  [131/144] gpt-5.4/D2/七律平起  79.33s 16err 8996tok
  [132/144] gpt-5.4/D2/五绝平起  36.34s 0err 7068tok
  [133/144] gpt-5.4/D2/五绝仄起首句入韵  31.07s 0err 6961tok
  [134/144] gpt-5.4/D2/五律仄起首句入韵  110.72s 14err 14144tok
  [135/144] gpt-5.4/D2/五绝平起首句入韵  34.18s 0err 5903tok
  [136/144] gpt-5.4/D2/五律平起首句入韵  99.25s 2err 9609tok
  [137/144] gpt-5.4/D2/戚氏  24.29s 1err 5723tok
  [138/144] gpt-5.4/D2/六州歌头  53.11s 109err 11515tok
  [139/144] gpt-5.4/D2/皂罗特髻  60.29s 3err 7985tok
  [140/144] gpt-5.4/D2/调笑令  51.31s 18err 9444tok
  [141/144] gpt-5.4/D2/定风波  89.16s 19err 11395tok
  [142/144] gpt-5.4/D2/西江月  105.08s 3err 11282tok
  [143/144] gpt-5.4/D2/减字木兰花  79.18s 17err 9517tok
  [144/144] gpt-5.4/D2/翠楼吟  46.99s 1err 6886tok
  gpt-5.4/D2: done (144 completed)

All done. Results in results/run_002/
