Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 2 per model, outdir: results/run_002

  [76/144] DeepSeek-V4-Pro/D2/无闷  105.06s 1err 16313tok
  [77/144] DeepSeek-V4-Pro/D2/早梅芳慢  103.77s 0err 16348tok
  [78/144] DeepSeek-V4-Pro/D2/春雪间早梅  139.5s 2err 18895tok
  [79/144] DeepSeek-V4-Pro/D2/望南云慢  95.36s 2err 16231tok
  [80/144] DeepSeek-V4-Pro/D2/望明河  133.71s 9err 18590tok
  [81/144] DeepSeek-V4-Pro/D2/期夜月  182.95s 1err 25105tok
  [82/144] DeepSeek-V4-Pro/D2/杏花天慢  196.7s 1err 27454tok
  [83/144] DeepSeek-V4-Pro/D2/梦扬州  61.64s 1err 11213tok
  [84/144] DeepSeek-V4-Pro/D2/清风满桂楼  128.94s 1err 19592tok
  [85/144] DeepSeek-V4-Pro/D2/澡兰香  98.65s 1err 14955tok
  [86/144] DeepSeek-V4-Pro/D2/玉抱肚  119.02s 4err 19418tok
  [87/144] DeepSeek-V4-Pro/D2/玉连环  ERROR: Remote end closed connection without response
  [88/144] DeepSeek-V4-Pro/D2/玉梅香慢  172.95s 1err 24925tok
  [89/144] DeepSeek-V4-Pro/D2/瑞云浓慢  110.61s 1err 17620tok
  [90/144] DeepSeek-V4-Pro/D2/真珠髻  161.7s 5err 26878tok
  [91/144] DeepSeek-V4-Pro/D2/红芍药  121.9s 1err 17995tok
  [92/144] DeepSeek-V4-Pro/D2/翠羽吟  114.9s 1err 22524tok
  [93/144] DeepSeek-V4-Pro/D2/舜韶新  119.4s 1err 18607tok
  [94/144] DeepSeek-V4-Pro/D2/菩萨蛮慢  140.1s 5err 21402tok
  [95/144] DeepSeek-V4-Pro/D2/蜀溪春  81.78s 2err 14617tok
  [96/144] DeepSeek-V4-Pro/D2/西吴曲  119.58s 4err 17977tok
  [97/144] DeepSeek-V4-Pro/D2/赏松菊  133.55s 6err 21458tok
  [98/144] DeepSeek-V4-Pro/D2/采明珠  138.38s 3err 23738tok
  [99/144] DeepSeek-V4-Pro/D2/雪明鳷鹊夜  105.93s 1err 14946tok
  [100/144] DeepSeek-V4-Pro/D2/阳台路  132.7s 1err 18715tok
  [101/144] DeepSeek-V4-Pro/D2/忆江南  35.24s 0err 6675tok
  [102/144] DeepSeek-V4-Pro/D2/蝶恋花  99.9s 1err 14597tok
  [103/144] DeepSeek-V4-Pro/D2/踏莎行  68.22s 2err 12426tok
  [104/144] DeepSeek-V4-Pro/D2/渔家傲  49.96s 18err 9471tok
  [105/144] DeepSeek-V4-Pro/D2/甘露歌  81.4s 30err 15112tok
  [106/144] DeepSeek-V4-Pro/D2/荷华媚  63.22s 1err 10916tok
  [107/144] DeepSeek-V4-Pro/D2/洞仙歌  160.64s 1err 23485tok
  [108/144] DeepSeek-V4-Pro/D2/钿带长中调  83.01s 1err 14115tok
  [109/144] DeepSeek-V4-Pro/D2/隔帘听  93.97s 0err 14207tok
  [110/144] DeepSeek-V4-Pro/D2/韵令  101.95s 0err 16088tok
  [111/144] DeepSeek-V4-Pro/D2/浣溪沙  129.03s 4err 17320tok
  [112/144] DeepSeek-V4-Pro/D2/浪淘沙  54.11s 0err 10571tok
  [113/144] DeepSeek-V4-Pro/D2/生查子  50.71s 0err 8708tok
  [114/144] DeepSeek-V4-Pro/D2/鹧鸪天  108.11s 1err 14813tok
  [115/144] DeepSeek-V4-Pro/D2/菩萨蛮  104.25s 18err 16077tok
  [116/144] DeepSeek-V4-Pro/D2/破字令  69.16s 0err 10491tok
  [117/144] DeepSeek-V4-Pro/D2/荔子丹  73.75s 4err 10259tok
  [118/144] DeepSeek-V4-Pro/D2/竹香子  102.09s 1err 14308tok
  [119/144] DeepSeek-V4-Pro/D2/荷叶铺水面  77.51s 1err 10950tok
  [120/144] DeepSeek-V4-Pro/D2/醉高歌  107.65s 6err 12837tok
  [121/144] DeepSeek-V4-Pro/D2/七律平起首句入韵  85.85s 0err 11483tok
  [122/144] DeepSeek-V4-Pro/D2/七律仄起首句入韵  96.5s 0err 12970tok
  [123/144] DeepSeek-V4-Pro/D2/五律仄起  60.12s 0err 7542tok
