Experiment: 8 models × 1 conditions × 144 prompts
Concurrency: 4 per model, outdir: results/run_002

  [23/144] Qwen3.5-27B/C/渡江云  19.96s 1err 270tok
  [23/144] DeepSeek-V4-Pro/C/望海潮  3.18s 6err 248tok
  [24/144] DeepSeek-V4-Pro/C/渡江云  3.05s 4err 240tok
  [21/144] gpt-5.4/C/望海潮  5.18s 1err 293tok
  [22/144] gpt-5.4/C/长亭怨慢  6.22s 1err 282tok
  [25/144] DeepSeek-V4-Pro/C/醉蓬莱  3.03s 10err 245tok
  [26/144] DeepSeek-V4-Pro/C/兰陵王  4.39s 7err 290tok
  [24/144] Qwen3.5-27B/C/醉蓬莱  19.87s 67err 258tok
  [27/144] DeepSeek-V4-Pro/C/解连环  3.55s 19err 254tok
  [23/144] gpt-5.4/C/桂枝香  5.18s 4err 288tok
  [6/144] claude-opus-4-6/C/齐天乐  25.11s 1err 1402tok
  [7/144] claude-opus-4-6/C/沁园春  24.62s 5err 1475tok
  [24/144] gpt-5.4/C/渡江云  4.76s 7err 275tok
  [28/144] DeepSeek-V4-Pro/C/南浦  2.07s 1err 187tok
  [25/144] Qwen3.5-27B/C/兰陵王  21.85s 1err 386tok
  [25/144] gpt-5.4/C/醉蓬莱  5.18s 1err 288tok
  [8/144] claude-opus-4-6/C/满庭芳  24.65s 3err 1671tok
  [29/144] DeepSeek-V4-Pro/C/东风第一枝  3.38s 1err 256tok
  [30/144] DeepSeek-V4-Pro/C/玉漏迟  0.77s 1err 131tok
  [31/144] DeepSeek-V4-Pro/C/天香  3.29s 13err 236tok
  [26/144] Qwen3.5-27B/C/三姝媚  3.76s 1err 275tok
  [32/144] DeepSeek-V4-Pro/C/三姝媚  3.14s 4err 241tok
  [27/144] Qwen3.5-27B/C/南浦  1.86s 1err 233tok
  [26/144] gpt-5.4/C/兰陵王  6.94s 1err 327tok
  [27/144] gpt-5.4/C/解连环  5.98s 1err 300tok
  [1/144] gemini-3.1-pro-preview/C/念奴娇  61.89s 1err 8112tok
  [33/144] DeepSeek-V4-Pro/C/绮罗香  3.63s 0err 246tok
  [28/144] gpt-5.4/C/南浦  5.71s 1err 288tok
  [34/144] DeepSeek-V4-Pro/C/暗香  3.4s 4err 244tok
  [35/144] DeepSeek-V4-Pro/C/凤凰台上忆吹箫  3.25s 7err 251tok
  [29/144] gpt-5.4/C/三姝媚  5.29s 3err 297tok
  [29/144] Qwen3.5-27B/C/玉漏迟  2.68s 1err 268tok
  [30/144] gpt-5.4/C/天香  5.15s 1err 282tok
  [36/144] DeepSeek-V4-Pro/C/莺啼序  7.92s 1err 431tok
  [37/144] DeepSeek-V4-Pro/C/霜叶飞  3.89s 1err 273tok
  [38/144] DeepSeek-V4-Pro/C/扫地游  1.82s 1err 188tok
  [39/144] DeepSeek-V4-Pro/C/玲珑四犯  0.68s 1err 131tok
  [31/144] gpt-5.4/C/玉漏迟  4.74s 37err 276tok
  [32/144] gpt-5.4/C/东风第一枝  6.34s 3err 300tok
  [40/144] DeepSeek-V4-Pro/C/扬州慢  3.3s 2err 244tok
  [9/144] MiniMax-M2.5/C/八声甘州  43.59s 1err 3736tok
  [41/144] DeepSeek-V4-Pro/C/多丽  3.67s 0err 299tok
  [9/144] DeepSeek-V3.2-reasoner/C/齐天乐  60.19s 1err 10584tok
  [2/144] gemini-3.1-pro-preview/C/贺新郎  75.37s 2err 8129tok
  [42/144] DeepSeek-V4-Pro/C/庆春宫  3.37s 0err 260tok
  [33/144] gpt-5.4/C/凤凰台上忆吹箫  5.08s 14err 284tok
  [34/144] gpt-5.4/C/绮罗香  5.86s 1err 289tok
  [43/144] DeepSeek-V4-Pro/C/法曲献仙音  2.73s 6err 246tok
  [44/144] DeepSeek-V4-Pro/C/绛都春  3.47s 9err 245tok
  [45/144] DeepSeek-V4-Pro/C/解语花  2.8s 4err 243tok
  [30/144] Qwen3.5-27B/C/东风第一枝  18.02s 1err 279tok
  [10/144] DeepSeek-V3.2-reasoner/C/瑞鹤仙  3.06s 28err 569tok
  [31/144] Qwen3.5-27B/C/天香  18.01s 1err 255tok
  [3/144] gemini-3.1-pro-preview/C/水调歌头  75.4s 3err 8106tok
  [4/144] gemini-3.1-pro-preview/C/满江红  80.13s Noneerr 8312tok
  [35/144] gpt-5.4/C/莺啼序  8.94s 1err 432tok
  [36/144] gpt-5.4/C/暗香  5.65s 9err 281tok
  [9/144] claude-opus-4-6/C/摸鱼儿  25.8s 6err 1431tok
  [46/144] DeepSeek-V4-Pro/C/琵琶仙  3.44s 1err 246tok
  [47/144] DeepSeek-V4-Pro/C/选冠子  3.44s 1err 268tok
  [48/144] DeepSeek-V4-Pro/C/石州慢  3.31s 1err 245tok
  [5/144] gemini-3.1-pro-preview/C/齐天乐  ERROR: OpenAI-compatible request failed: HTTP 404 Not Found for https://platform-api.xa
  [37/144] gpt-5.4/C/霜叶飞  6.25s 1err 295tok
  [38/144] gpt-5.4/C/扬州慢  5.53s 1err 286tok
  [10/144] claude-opus-4-6/C/木兰花慢  27.43s 19err 1696tok
  [49/144] DeepSeek-V4-Pro/C/意难忘  2.35s 1err 170tok
  [6/144] gemini-3.1-pro-preview/C/摸鱼儿  ERROR: OpenAI-compatible request failed: HTTP 404 Not Found for https://platform-api.xa
  [39/144] gpt-5.4/C/扫地游  5.59s 1err 298tok
  [11/144] claude-opus-4-6/C/高阳台  24.23s 10err 1488tok
