Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 2 per model, outdir: results/run_002

  [88/144] gpt-5.4/D1/玉连环  54.22s 1err 6496tok
  [89/144] gpt-5.4/D1/真珠髻  43.25s 1err 5837tok
  [90/144] gpt-5.4/D1/瑞云浓慢  57.71s 1err 7982tok
  [91/144] gpt-5.4/D1/红芍药  37.11s 59err 7466tok
  [92/144] gpt-5.4/D1/翠羽吟  38.03s 106err 8986tok
  [93/144] gpt-5.4/D1/舜韶新  51.15s 1err 7838tok
  [94/144] gpt-5.4/D1/蜀溪春  21.74s 30err 5048tok
  [95/144] gpt-5.4/D1/西吴曲  43.45s 1err 5495tok
  [96/144] gpt-5.4/D1/菩萨蛮慢  118.78s 65err 16902tok
  [97/144] gpt-5.4/D1/采明珠  23.89s 80err 7095tok
  [98/144] gpt-5.4/D1/赏松菊  44.84s 61err 8948tok
  [99/144] gpt-5.4/D1/阳台路  36.48s 1err 5592tok
  [100/144] gpt-5.4/D1/雪明鳷鹊夜  25.86s 1err 5082tok
  [101/144] gpt-5.4/D1/蝶恋花  13.44s 0err 3381tok
  [102/144] gpt-5.4/D1/踏莎行  12.6s 0err 3182tok
  [103/144] gpt-5.4/D1/忆江南  24.43s 0err 4127tok
  [104/144] gpt-5.4/D1/渔家傲  73.99s 0err 9420tok
  [105/144] gpt-5.4/D1/甘露歌  32.77s 59err 6908tok
  [106/144] gpt-5.4/D1/洞仙歌  53.8s 0err 7979tok
  [107/144] gpt-5.4/D1/荷华媚  45.87s 45err 9491tok
  [108/144] gpt-5.4/D1/隔帘听  40.31s 48err 7880tok
  [109/144] gpt-5.4/D1/钿带长中调  74.53s 1err 9252tok
  [110/144] gpt-5.4/D1/浣溪沙  11.62s 0err 2919tok
  [111/144] gpt-5.4/D1/浪淘沙  11.32s 0err 3039tok
  [112/144] gpt-5.4/D1/韵令  64.99s 70err 13637tok
  [113/144] gpt-5.4/D1/生查子  7.34s 0err 2538tok
  [114/144] gpt-5.4/D1/鹧鸪天  22.58s 0err 4039tok
  [115/144] gpt-5.4/D1/菩萨蛮  18.82s 23err 5602tok
  [116/144] gpt-5.4/D1/破字令  44.32s 1err 6413tok
  [117/144] gpt-5.4/D1/竹香子  43.36s 21err 7497tok
  [118/144] gpt-5.4/D1/荔子丹  49.62s 12err 7641tok
  [119/144] gpt-5.4/D1/荷叶铺水面  66.52s 29err 9951tok
