Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 8 per model, outdir: results/run_002

  GLM-5.1/B: resume, 2 done, 142 remaining
  [88/142] GLM-5.1/B/真珠髻  339.55s 1err 22086tok
  [89/142] GLM-5.1/B/玉梅香慢  495.87s 1err 39969tok
  [90/142] GLM-5.1/B/菩萨蛮慢  202.99s 1err 12833tok
  [91/142] GLM-5.1/B/舜韶新  341.18s 1err 24527tok
  [92/142] GLM-5.1/B/西吴曲  230.28s 1err 17912tok
  [93/142] GLM-5.1/B/采明珠  220.96s 1err 16462tok
  [94/142] GLM-5.1/B/翠羽吟  480.7s 1err 39931tok
  [95/142] GLM-5.1/B/蜀溪春  438.94s 1err 39973tok
  [96/142] GLM-5.1/B/赏松菊  417.55s 1err 39971tok
  [97/142] GLM-5.1/B/渔家傲  100.94s 1err 7605tok
  [98/142] GLM-5.1/B/蝶恋花  178.42s 30err 12455tok
  [99/142] GLM-5.1/B/忆江南  194.58s 0err 12842tok
  [100/142] GLM-5.1/B/雪明鳷鹊夜  228.76s 1err 15822tok
  [101/142] GLM-5.1/B/甘露歌  236.32s 1err 15846tok
  [102/142] GLM-5.1/B/荷华媚  179.27s 1err 13373tok
  [103/142] GLM-5.1/B/浣溪沙  74.27s 1err 5589tok
  [104/142] GLM-5.1/B/浪淘沙  112.17s 2err 8968tok
  [105/142] GLM-5.1/B/踏莎行  426.62s 2err 39918tok
  [106/142] GLM-5.1/B/阳台路  468.18s 76err 39972tok
  [107/142] GLM-5.1/B/洞仙歌  480.02s 13err 39957tok
  [108/142] GLM-5.1/B/生查子  235.61s 1err 16801tok
  [109/142] GLM-5.1/B/隔帘听  432.29s 1err 39955tok
  [110/142] GLM-5.1/B/破字令  159.63s 1err 11629tok
  [111/142] GLM-5.1/B/钿带长中调  453.63s 1err 40639tok
  [112/142] GLM-5.1/B/菩萨蛮  227.95s 17err 17099tok
  [113/142] GLM-5.1/B/韵令  456.31s 1err 39876tok
  [114/142] GLM-5.1/B/七律平起首句入韵  62.05s 0err 5000tok
  [115/142] GLM-5.1/B/七绝仄起首句入韵  57.22s 0err 4387tok
  [116/142] GLM-5.1/B/醉高歌  132.16s 19err 9306tok
  [117/142] GLM-5.1/B/五律仄起  76.55s 1err 5524tok
  [118/142] GLM-5.1/B/七律仄起首句入韵  114.12s 10err 9180tok
  [119/142] GLM-5.1/B/竹香子  308.62s 1err 20870tok
  [120/142] GLM-5.1/B/七绝平起  45.16s 1err 3733tok
  [121/142] GLM-5.1/B/五绝仄起  34.29s 0err 2938tok
  [122/142] GLM-5.1/B/七绝仄起  33.18s 2err 2876tok
  [123/142] GLM-5.1/B/五律平起  66.88s 0err 5206tok
  [124/142] GLM-5.1/B/鹧鸪天  464.39s 1err 44445tok
  [125/142] GLM-5.1/B/七律仄起  142.79s 1err 10305tok
  [126/142] GLM-5.1/B/荔子丹  425.08s 1err 39920tok
  [127/142] GLM-5.1/B/荷叶铺水面  374.51s 1err 27387tok
  [128/142] GLM-5.1/B/七绝平起首句入韵  442.03s 0err 39882tok
  [129/142] GLM-5.1/B/五绝平起  28.45s 0err 2594tok
  [130/142] GLM-5.1/B/五律仄起首句入韵  82.96s 0err 6259tok
  [131/142] GLM-5.1/B/五律平起首句入韵  100.87s 0err 7303tok
  [132/142] GLM-5.1/B/七律平起  108.65s 1err 8284tok
  [133/142] GLM-5.1/B/五绝仄起首句入韵  110.02s 0err 8128tok
  [134/142] GLM-5.1/B/五绝平起首句入韵  146.41s 0err 9806tok
  [135/142] GLM-5.1/B/西江月  89.34s 2err 7893tok
  [136/142] GLM-5.1/B/减字木兰花  100.48s 1err 7785tok
  [137/142] GLM-5.1/B/定风波  110.69s 21err 7854tok
  [138/142] GLM-5.1/B/皂罗特髻  216.94s 1err 16037tok
  [139/142] GLM-5.1/B/调笑令  192.56s 1err 12579tok
  [140/142] GLM-5.1/B/戚氏  389.01s 1err 27448tok
  [141/142] GLM-5.1/B/六州歌头  447.07s 1err 40034tok
  [142/142] GLM-5.1/B/翠楼吟  418.75s 1err 34583tok
  GLM-5.1/B: done (142 completed)

All done. Results in results/run_002/
